SKU,Name,Category,Схема,Brand,Niche,Seller,Balance,Balance FBS,Warehouses count,Comments,Final price,Max price,Min price,Average price,Median price,Цена с Ozon картой,Sales,Revenue,Revenue potential,Revenue average,Lost profit,Lost profit percent,URL,Thumb,Pics Count,Has Video,First Date,Days in website,Days in stock,Days with sales,Average if in stock,Rating,FBS,Base price,Category Position,Categories Last Count,Sales Per Day Average,Turnover,Frozen stocks,Frozen stocks cost,Frozen stocks percent
936454663,"Карта мира географическая политическая интерактивная с ламинацией, 199 х 134 см, 1:15,5М, ламинированная, настенная",Канцелярские товары/Бумажная продукция/Карты мира,FBO,,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",GooDaY,346,0,12,5227,1811,2208,1795,"1999,44","2024,5",1676,156,311913,311913,"10397,1",0,0,https://www.ozon.ru/context/detail/id/936454663/,https://cdn1.ozone.ru/s3/multimedia-1-c/7379309676.jpg,4,0,45045,694,30,26,"5,2","4,8",0,4990,1,1,"5,2","66,54",112,202832,"32,37"
491279127,"Карта МИРА настенная политическая,160х102 см, Выпуск 2024 года, Школьная географическая карта для детей по географии",Канцелярские товары/Бумажная продукция/Карты мира,FBO,Атлас Принт,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",ИНТЕРТРЕЙД,37,612,5,1719,807,911,798,"839,06",841,748,370,310452,310452,"10348,4",0,0,https://www.ozon.ru/context/detail/id/491279127/,https://cdn1.ozone.ru/s3/multimedia-1-8/7295087132.jpg,6,0,45143,596,30,30,"12,33","4,9",1,1874,3,1,"12,33",3,0,0,0
844750071,"Карта мира географическая политическая интерактивная с ламинацией, 117 х 80 см, 1:28М, ламинированная, настенная",Канцелярские товары/Бумажная продукция/Карты мира,FBO,,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",GooDaY,585,0,9,5227,536,631,510,"564,34","541,5",495,534,301360,301360,"10045,33",0,0,https://www.ozon.ru/context/detail/id/844750071/,https://cdn1.ozone.ru/s3/multimedia-1-3/7379313627.jpg,5,0,44965,774,30,30,"17,8","4,8",0,1599,2,1,"17,8","32,87",0,0,0
1737112880,"Карта мира политическая на стену большая 199х134 см, географическая настенная интерактивная 1:15,5М, с ламинацией, европодвес, Brauberg",Канцелярские товары/Бумажная продукция/Карты мира,FBO,Brauberg,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Самсон,94,0,7,162,1237,1246,1111,"1214,57",1217,1200,216,262347,262347,"8744,9",0,0,https://www.ozon.ru/context/detail/id/1737112880/,https://cdn1.ozone.ru/s3/multimedia-1-k/7366588580.jpg,6,0,45605,134,30,30,"7,2","4,8",0,2414,56,1,"7,2","13,06",0,0,0
216810859,"Настенная карта мира для детей, игра, 150х115 см. Papitama.",Канцелярские товары/Бумажная продукция/Карты мира,FBO,Играматика,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Студия Играматика,199,0,16,324,2575,2795,2549,"2580,47",2573,2386,100,258047,258047,"8601,57",0,0,https://www.ozon.ru/context/detail/id/216810859/,https://cdn1.ozone.ru/s3/multimedia-1-u/7061102094.jpg,6,0,45287,452,30,28,"3,33","4,9",0,4290,6,1,"3,33","59,7",49,126175,"24,62"
861723214,"Карта мира географическая политическая интерактивная с ламинацией, 157 х 107 см, 1:21,5М, ламинированная, настенная",Канцелярские товары/Бумажная продукция/Карты мира,FBO,,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",GooDaY,303,0,11,5227,1075,1446,1075,"1227,81","1225,5",994,183,224690,224690,"7489,67",0,0,https://www.ozon.ru/context/detail/id/861723214/,https://cdn1.ozone.ru/s3/multimedia-1-3/7379312151.jpg,5,0,44979,760,30,29,"6,1","4,8",0,2998,12,1,"6,1","49,67",28,30100,"9,24"
268682139,"Карта мира настенная политическая на стену 101х70 см, 1:32М, с ламинацией, интерактивная, европодвес, Brauberg",Канцелярские товары/Бумажная продукция/Карты мира,FBO,Brauberg,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Самсон,853,0,9,7272,258,261,258,"259,15",259,248,746,193328,"199994,48","6444,27","6666,48","3,33",https://www.ozon.ru/context/detail/id/268682139/,https://cdn1.ozone.ru/s3/multimedia-1-5/7388316113.jpg,6,0,44363,1376,29,30,"25,52","4,9",0,454,13,1,"24,87","33,43",0,0,0
438166622,"Настенная карта мира для детей, игра (с креплением), 150х115 см. Papitama.",Канцелярские товары/Бумажная продукция/Карты мира,FBO,Играматика,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Студия Играматика,66,0,10,129,3071,3562,2822,"3111,2","3069,5",2846,50,155560,155560,"5185,33",0,0,https://www.ozon.ru/context/detail/id/438166622/,https://cdn1.ozone.ru/s3/multimedia-1-3/7061102391.jpg,6,0,45329,410,30,20,"1,67","4,8",0,5190,21,1,"1,67","39,6",0,0,0
1712946829,"Карта мира физическая на стену, географическая 199х134 см, 1:15,5М, с ламинацией, интерактивная, в тубусе, Brauberg",Канцелярские товары/Бумажная продукция/Карты мира,FBO,Brauberg,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",Самсон,120,0,6,160,1567,1578,1435,"1522,3","1535,5",1520,100,152230,152230,"5074,33",0,0,https://www.ozon.ru/context/detail/id/1712946829/,https://cdn1.ozone.ru/s3/multimedia-1-a/7366593214.jpg,6,0,45585,154,30,27,"3,33","4,8",0,3057,5,1,"3,33",36,0,0,0
861593242,"Карта России настенная. Россия в новых границах. 100х70см, выпуск 2024год. Карта в тубусе.",Канцелярские товары/Бумажная продукция/Карты мира,FBO,Карта ТД,"Дом и сад/Декор и интерьер/Картины и панно/Гравюры, литография и карты",КАРТА,469,0,21,3062,557,671,554,"639,14","635,5",514,236,150836,150836,"5027,87",0,0,https://www.ozon.ru/context/detail/id/861593242/,https://cdn1.ozone.ru/s3/multimedia-1-j/7382543851.jpg,6,0,44974,765,30,30,"7,87","4,9",0,1099,57,1,"7,87","59,62",115,64055,"24,52"
